GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Median value (dollars),Margin of Error; Median value (dollars)
1400000US06073008006,06073008006,"Census Tract 80.06, San Diego County, California",694700,119623
1400000US06073008101,06073008101,"Census Tract 81.01, San Diego County, California",1110000,85033
1400000US06073008102,06073008102,"Census Tract 81.02, San Diego County, California",1462700,208936
1400000US06073008200,06073008200,"Census Tract 82, San Diego County, California",1142900,747590
1400000US06073008301,06073008301,"Census Tract 83.01, San Diego County, California",839300,69966
1400000US06073008303,06073008303,"Census Tract 83.03, San Diego County, California",1720900,257516
1400000US06073008305,06073008305,"Census Tract 83.05, San Diego County, California",474100,37746
1400000US06073008306,06073008306,"Census Tract 83.06, San Diego County, California",741700,39039
1400000US06073008307,06073008307,"Census Tract 83.07, San Diego County, California",646500,29820
1400000US06073008310,06073008310,"Census Tract 83.10, San Diego County, California",1123600,63746
1400000US06073008311,06073008311,"Census Tract 83.11, San Diego County, California",1716300,335744
1400000US06073008312,06073008312,"Census Tract 83.12, San Diego County, California",1424300,350087
1400000US06073008313,06073008313,"Census Tract 83.13, San Diego County, California",1127500,73167
1400000US06073008324,06073008324,"Census Tract 83.24, San Diego County, California",1098200,52257
1400000US06073008327,06073008327,"Census Tract 83.27, San Diego County, California",826200,56563
1400000US06073008328,06073008328,"Census Tract 83.28, San Diego County, California",1105000,68713
1400000US06073008329,06073008329,"Census Tract 83.29, San Diego County, California",419000,30057
1400000US06073008330,06073008330,"Census Tract 83.30, San Diego County, California",766400,53897
1400000US06073008331,06073008331,"Census Tract 83.31, San Diego County, California",772400,31171
1400000US06073008333,06073008333,"Census Tract 83.33, San Diego County, California",962300,46911
1400000US06073008335,06073008335,"Census Tract 83.35, San Diego County, California",690100,30751
1400000US06073008336,06073008336,"Census Tract 83.36, San Diego County, California",609500,11461
1400000US06073008337,06073008337,"Census Tract 83.37, San Diego County, California",588400,15846
1400000US06073008339,06073008339,"Census Tract 83.39, San Diego County, California",380600,37600
1400000US06073008340,06073008340,"Census Tract 83.40, San Diego County, California",616300,52820
1400000US06073008341,06073008341,"Census Tract 83.41, San Diego County, California",372800,54870
1400000US06073008343,06073008343,"Census Tract 83.43, San Diego County, California",367300,23841
1400000US06073008344,06073008344,"Census Tract 83.44, San Diego County, California",623100,21094
1400000US06073008345,06073008345,"Census Tract 83.45, San Diego County, California",617400,45055
1400000US06073008346,06073008346,"Census Tract 83.46, San Diego County, California",616300,22143
1400000US06073008347,06073008347,"Census Tract 83.47, San Diego County, California",421900,18416
1400000US06073008348,06073008348,"Census Tract 83.48, San Diego County, California",449600,19553
1400000US06073008349,06073008349,"Census Tract 83.49, San Diego County, California",430700,11867
1400000US06073008350,06073008350,"Census Tract 83.50, San Diego County, California",443300,17424
1400000US06073008351,06073008351,"Census Tract 83.51, San Diego County, California",396600,23335
1400000US06073008352,06073008352,"Census Tract 83.52, San Diego County, California",390600,36204
1400000US06073008353,06073008353,"Census Tract 83.53, San Diego County, California",422100,19431
1400000US06073008354,06073008354,"Census Tract 83.54, San Diego County, California",478600,29360
1400000US06073008355,06073008355,"Census Tract 83.55, San Diego County, California",457400,10717
1400000US06073008356,06073008356,"Census Tract 83.56, San Diego County, California",336800,30543
1400000US06073008357,06073008357,"Census Tract 83.57, San Diego County, California",332300,22011
1400000US06073008358,06073008358,"Census Tract 83.58, San Diego County, California",364100,21893
1400000US06073008359,06073008359,"Census Tract 83.59, San Diego County, California",124500,101368
1400000US06073008360,06073008360,"Census Tract 83.60, San Diego County, California",314000,39009
1400000US06073008361,06073008361,"Census Tract 83.61, San Diego County, California",343200,28434
1400000US06073008362,06073008362,"Census Tract 83.62, San Diego County, California",467300,19591
1400000US06073008363,06073008363,"Census Tract 83.63, San Diego County, California",243600,84549
1400000US06073008364,06073008364,"Census Tract 83.64, San Diego County, California",570100,83837
1400000US06073008365,06073008365,"Census Tract 83.65, San Diego County, California",734400,46857
1400000US06073008366,06073008366,"Census Tract 83.66, San Diego County, California",645500,17986
1400000US06073008501,06073008501,"Census Tract 85.01, San Diego County, California",489000,22834
1400000US06073008502,06073008502,"Census Tract 85.02, San Diego County, California",453900,27582
1400000US06073008503,06073008503,"Census Tract 85.03, San Diego County, California",570900,27622
1400000US06073008504,06073008504,"Census Tract 85.04, San Diego County, California",458000,29721
1400000US06073008505,06073008505,"Census Tract 85.05, San Diego County, California",454500,18887
1400000US06073008506,06073008506,"Census Tract 85.06, San Diego County, California",428900,23384
1400000US06073008507,06073008507,"Census Tract 85.07, San Diego County, California",440300,27208
1400000US06073008509,06073008509,"Census Tract 85.09, San Diego County, California",429600,28903
1400000US06073008510,06073008510,"Census Tract 85.10, San Diego County, California",408900,23801
1400000US06073008511,06073008511,"Census Tract 85.11, San Diego County, California",313100,65415
1400000US06073008512,06073008512,"Census Tract 85.12, San Diego County, California",476800,23134
1400000US06073008513,06073008513,"Census Tract 85.13, San Diego County, California",514100,40777
1400000US06073008600,06073008600,"Census Tract 86, San Diego County, California",312700,53030
1400000US06073008701,06073008701,"Census Tract 87.01, San Diego County, California",320000,67974
1400000US06073008702,06073008702,"Census Tract 87.02, San Diego County, California",390200,28285
1400000US06073008800,06073008800,"Census Tract 88, San Diego County, California",411800,24032
1400000US06073008901,06073008901,"Census Tract 89.01, San Diego County, California",349100,22925
1400000US06073008902,06073008902,"Census Tract 89.02, San Diego County, California",302800,20964
1400000US06073009000,06073009000,"Census Tract 90, San Diego County, California",460800,17802
1400000US06073009101,06073009101,"Census Tract 91.01, San Diego County, California",627700,30914
1400000US06073009102,06073009102,"Census Tract 91.02, San Diego County, California",427500,49906
1400000US06073009103,06073009103,"Census Tract 91.03, San Diego County, California",618800,21676
1400000US06073009104,06073009104,"Census Tract 91.04, San Diego County, California",648000,31764
1400000US06073009106,06073009106,"Census Tract 91.06, San Diego County, California",493800,48521
1400000US06073009107,06073009107,"Census Tract 91.07, San Diego County, California",329400,29909
1400000US06073009201,06073009201,"Census Tract 92.01, San Diego County, California",416100,40951
1400000US06073009202,06073009202,"Census Tract 92.02, San Diego County, California",451600,10825
1400000US06073009301,06073009301,"Census Tract 93.01, San Diego County, California",380300,22676
1400000US06073009304,06073009304,"Census Tract 93.04, San Diego County, California",281700,48712
1400000US06073009305,06073009305,"Census Tract 93.05, San Diego County, California",447700,8264
1400000US06073009306,06073009306,"Census Tract 93.06, San Diego County, California",450800,34248
1400000US06073009400,06073009400,"Census Tract 94, San Diego County, California",,
1400000US06073009502,06073009502,"Census Tract 95.02, San Diego County, California",477500,33181
