"long","lat","order","hole","piece","id","group"
-117.181975,32.748088,1825746,FALSE,"1","06073000100","06073000100.1"
-117.182121,32.747919,1825747,FALSE,"1","06073000100","06073000100.1"
-117.182137,32.747895,1825748,FALSE,"1","06073000100","06073000100.1"
-117.182175,32.747843,1825749,FALSE,"1","06073000100","06073000100.1"
-117.182187,32.74783,1825750,FALSE,"1","06073000100","06073000100.1"
-117.182207,32.747811,1825751,FALSE,"1","06073000100","06073000100.1"
-117.182284,32.747734,1825752,FALSE,"1","06073000100","06073000100.1"
-117.182519,32.747504,1825753,FALSE,"1","06073000100","06073000100.1"
-117.182597,32.747428,1825754,FALSE,"1","06073000100","06073000100.1"
-117.18263,32.747397,1825755,FALSE,"1","06073000100","06073000100.1"
-117.182729,32.747312,1825756,FALSE,"1","06073000100","06073000100.1"
-117.182763,32.747283,1825757,FALSE,"1","06073000100","06073000100.1"
-117.182875,32.747185,1825758,FALSE,"1","06073000100","06073000100.1"
-117.183213,32.746893,1825759,FALSE,"1","06073000100","06073000100.1"
-117.183326,32.746796,1825760,FALSE,"1","06073000100","06073000100.1"
-117.183361,32.746764,1825761,FALSE,"1","06073000100","06073000100.1"
-117.183469,32.746671,1825762,FALSE,"1","06073000100","06073000100.1"
-117.183505,32.746641,1825763,FALSE,"1","06073000100","06073000100.1"
-117.183537,32.746581,1825764,FALSE,"1","06073000100","06073000100.1"
-117.183634,32.746408,1825765,FALSE,"1","06073000100","06073000100.1"
-117.183667,32.74635,1825766,FALSE,"1","06073000100","06073000100.1"
-117.183684,32.746319,1825767,FALSE,"1","06073000100","06073000100.1"
-117.183737,32.746232,1825768,FALSE,"1","06073000100","06073000100.1"
-117.183755,32.746204,1825769,FALSE,"1","06073000100","06073000100.1"
-117.183827,32.74608,1825770,FALSE,"1","06073000100","06073000100.1"
-117.184043,32.74571,1825771,FALSE,"1","06073000100","06073000100.1"
-117.184116,32.745587,1825772,FALSE,"1","06073000100","06073000100.1"
-117.184175,32.745623,1825773,FALSE,"1","06073000100","06073000100.1"
-117.184355,32.745731,1825774,FALSE,"1","06073000100","06073000100.1"
-117.184415,32.745769,1825775,FALSE,"1","06073000100","06073000100.1"
-117.184604,32.745883,1825776,FALSE,"1","06073000100","06073000100.1"
-117.185171,32.746228,1825777,FALSE,"1","06073000100","06073000100.1"
-117.185361,32.746344,1825778,FALSE,"1","06073000100","06073000100.1"
-117.185435,32.746257,1825779,FALSE,"1","06073000100","06073000100.1"
-117.185609,32.746059,1825780,FALSE,"1","06073000100","06073000100.1"
-117.18566,32.745998,1825781,FALSE,"1","06073000100","06073000100.1"
-117.185734,32.745912,1825782,FALSE,"1","06073000100","06073000100.1"
-117.185464,32.745576,1825783,FALSE,"1","06073000100","06073000100.1"
-117.185851,32.745758,1825784,FALSE,"1","06073000100","06073000100.1"
-117.187012,32.746305,1825785,FALSE,"1","06073000100","06073000100.1"
-117.187399,32.746488,1825786,FALSE,"1","06073000100","06073000100.1"
-117.187622,32.746592,1825787,FALSE,"1","06073000100","06073000100.1"
-117.188293,32.746909,1825788,FALSE,"1","06073000100","06073000100.1"
-117.188517,32.747015,1825789,FALSE,"1","06073000100","06073000100.1"
-117.188839,32.747163,1825790,FALSE,"1","06073000100","06073000100.1"
-117.189805,32.747607,1825791,FALSE,"1","06073000100","06073000100.1"
-117.190128,32.747756,1825792,FALSE,"1","06073000100","06073000100.1"
-117.190216,32.747796,1825793,FALSE,"1","06073000100","06073000100.1"
-117.19048,32.747918,1825794,FALSE,"1","06073000100","06073000100.1"
-117.190569,32.747959,1825795,FALSE,"1","06073000100","06073000100.1"
-117.190504,32.748036,1825796,FALSE,"1","06073000100","06073000100.1"
-117.190309,32.748269,1825797,FALSE,"1","06073000100","06073000100.1"
-117.190245,32.748349,1825798,FALSE,"1","06073000100","06073000100.1"
-117.190084,32.748533,1825799,FALSE,"1","06073000100","06073000100.1"
-117.189602,32.749085,1825800,FALSE,"1","06073000100","06073000100.1"
-117.189442,32.74927,1825801,FALSE,"1","06073000100","06073000100.1"
-117.189462,32.749281,1825802,FALSE,"1","06073000100","06073000100.1"
-117.189481,32.749292,1825803,FALSE,"1","06073000100","06073000100.1"
-117.189481,32.749342,1825804,FALSE,"1","06073000100","06073000100.1"
-117.189482,32.749366,1825805,FALSE,"1","06073000100","06073000100.1"
-117.189491,32.749383,1825806,FALSE,"1","06073000100","06073000100.1"
-117.189508,32.74944,1825807,FALSE,"1","06073000100","06073000100.1"
-117.189515,32.749461,1825808,FALSE,"1","06073000100","06073000100.1"
-117.189852,32.749671,1825809,FALSE,"1","06073000100","06073000100.1"
-117.190188,32.749883,1825810,FALSE,"1","06073000100","06073000100.1"
-117.190864,32.750307,1825811,FALSE,"1","06073000100","06073000100.1"
