"id","street_name","limits","all_count","northbound_count","southbound_count","eastbound_count","westbound_count","total_count","file_no","count_date"
"01AV114414","01 AV","SD 005  - ELM ST"," ","13708","","","","13708","1144-14","2014-08-05 00:00:00"
"01AV117914","01 AV","SPRUCE ST - REDWOOD ST"," ","2865","2558.0","","","5423","1179-14","2014-10-01 00:00:00"
"01AV117814","01 AV","SPRUCE ST - THORN ST"," ","2384","2477.0","","","4861","1178-14","2014-10-01 00:00:00"
"01AV025704","01 AV","UNIVERSITY AV - WASHINGTON ST","7420","","","","","7420","0257-04","2004-03-17 00:00:00"
"01AV012107","01 AV","UNIVERSITY AV - WASHINGTON ST"," ","3710","2340.0","","","6050","0121-07","2007-03-07 00:00:00"
"01AV010310","01 AV","UNIVERSITY AV - WASHINGTON ST"," ","3270","2310.0","","","5580","0103-10","2010-03-16 00:00:00"
"01AV007513","01 AV","UNIVERSITY AV - WASHINGTON ST"," ","3526","2448.0","","","5974","0075-13","2013-02-07 00:00:00"
"01AV006317","01 AV","UNIVERSITY AV - WASHINGTON ST"," ","2978","2569.0","","","5547","0063-17","2017-03-15 00:00:00"
"01AV023802","01 AV","WASHINGTON ST - LEWIS ST"," ","5560","","","","5560","0238-02","2002-02-28 00:00:00"
"01AV008405","01 AV","WASHINGTON ST - LEWIS ST"," ","5400","","","","5400","0084-05","2005-03-30 00:00:00"
"01AV013008","01 AV","WASHINGTON ST - LEWIS ST"," ","5240","","","","5240","0130-08","2008-03-20 00:00:00"
"01AV032111","01 AV","WASHINGTON ST - LEWIS ST"," ","5305","","","","5305","0321-11","2011-05-26 00:00:00"
"01AV001614","01 AV","WASHINGTON ST - LEWIS ST"," ","4833","","","","4833","0016-14","2014-02-11 00:00:00"
"02AV017605","02 AV","A ST - ASH ST"," ","1070","2560.0","","","3630","0176-05","2005-03-29 00:00:00"
"02AV018308","02 AV","A ST - ASH ST"," ","620","2470.0","","","3090","0183-08","2008-03-27 00:00:00"
"02AV035811","02 AV","A ST - ASH ST"," ","670","2020.0","","","2690","0358-11","2011-06-16 00:00:00"
"02AV001714","02 AV","A ST - ASH ST"," ","599","2204.0","","","2803","0017-14","2014-02-11 00:00:00"
"02AV032703","02 AV","BEECH ST - CEDAR ST","5220","","","","","5220","0327-03","2003-03-26 00:00:00"
"02AV020006","02 AV","BEECH ST - CEDAR ST"," ","830","3260.0","","","4090","0200-06","2006-04-19 00:00:00"
"02AV027409","02 AV","BEECH ST - CEDAR ST"," ","915","3315.0","","","4230","0274-09","2009-04-21 00:00:00"
"02AV029212","02 AV","BEECH ST - CEDAR ST"," ","749","2988.0","","","3737","0292-12","2012-04-19 00:00:00"
"02AV036415","02 AV","BEECH ST - CEDAR ST"," ","593","2330.0","","","2923","0364-15","2015-06-03 00:00:00"
"02AV008416","02 AV","BEECH ST - CEDAR ST"," ","665","3465.0","","","4130","0084-16","2016-04-06 00:00:00"
"02AV020504","02 AV","CEDAR ST - ELM ST","6010","","","","","6010","0205-04","2004-03-10 00:00:00"
"02AV018307","02 AV","CEDAR ST - ELM ST"," ","350","4830.0","","","5180","0183-07","2007-03-13 00:00:00"
"02AV015310","02 AV","CEDAR ST - ELM ST"," ","725","3180.0","","","3905","0153-10","2010-03-18 00:00:00"
"02AV015310","02 AV","CEDAR ST - ELM ST"," ","646","3619.0","","","4265","0153-10","2013-03-12 00:00:00"
"03AV023304","03 AV","A ST - ASH ST"," ","5460","","","","5460","0233-04","2004-03-16 00:00:00"
"03AV018407","03 AV","A ST - ASH ST"," ","4710","","","","4710","0184-07","2007-03-13 00:00:00"
"03AV015410","03 AV","A ST - ASH ST"," ","4540","","","","4540","0154-10","2010-03-18 00:00:00"
"03AV018413","03 AV","A ST - ASH ST"," ","4259","","","","4259","0184-13","2013-03-12 00:00:00"
"03AV058507","03 AV","B ST - A ST"," ","6550","580.0","","","7130","0585-07","2008-01-08 00:00:00"
"03AV000911","03 AV","B ST - A ST"," ","6030","780.0","","","6810","0009-11","2011-02-09 00:00:00"
"03AV001814","03 AV","B ST - A ST"," ","4337","1482.0","","","5819","0018-14","2014-02-11 00:00:00"
"03AV025601","03 AV","BEECH ST - CEDAR ST"," ","2310","","","","2310","0256-01","2011-08-17 00:00:00"
"03AV001914","03 AV","BEECH ST - CEDAR ST"," ","1985","","","","1985","0019-14","2014-02-11 00:00:00"
"03AV069111","03 AV","BROADWAY  - C ST"," ","2455","2605.0","","","5060","0691-11","2011-08-17 00:00:00"
"03AV002014","03 AV","BROADWAY  - C ST"," ","2022","1802.0","","","3824","0020-14","2014-02-25 00:00:00"
"03AV082804","03 AV","C ST - B ST"," ","2600","2750.0","","","5350","0828-04","2004-11-30 00:00:00"
"03AV060407","03 AV","C ST - B ST"," ","2240","1990.0","","","4230","0604-07","2008-01-08 00:00:00"
"03AV001011","03 AV","C ST - B ST"," ","2375","2105.0","","","4480","0010-11","2011-02-15 00:00:00"
"03AV002114","03 AV","C ST - B ST"," ","1182","2437.0","","","3619","0021-14","2014-02-25 00:00:00"
"03AV113214","03 AV","DATE ST - CEDAR ST"," ","2172","","","","2172","1132-14","2014-07-08 00:00:00"
"03AV068811","03 AV","HAWTHORN AV - GRAPE ST"," ","1405","255.0","","","1660","0688-11","2011-08-30 00:00:00"
"03AV002214","03 AV","HAWTHORN AV - GRAPE ST"," ","231","1342.0","","","1573","0022-14","2014-02-11 00:00:00"
"03AV023702","03 AV","UNIVERSITY AV - WASHINGTON ST","4180","","","","","4180","0237-02","2002-02-28 00:00:00"
"03AV040105","03 AV","UNIVERSITY AV - WASHINGTON ST"," ","2500","1680.0","","","4180","0401-05","2005-08-30 00:00:00"
"03AV018908","03 AV","UNIVERSITY AV - WASHINGTON ST"," ","2090","1640.0","","","3730","0189-08","2008-03-27 00:00:00"
"03AV035911","03 AV","UNIVERSITY AV - WASHINGTON ST"," ","1860","1320.0","","","3180","0359-11","2011-06-15 00:00:00"
"03AV002314","03 AV","UNIVERSITY AV - WASHINGTON ST"," ","1023","1410.0","","","2433","0023-14","2014-02-11 00:00:00"
